iTunes_ID,wrapperType,movie_title,artist_id,artist_name,rental_price,main_price,hd_main_price,hd_rental_price,releaseDate,country,currency,synopsis,genre,runtime,rate_to_USD,main_price_USD,rental_price_USD,hd_main_price_USD,hd_rental_price_USD,relDate_DT,days_from_release
1170244491.0,track,Fantastic Beasts and Where to Find Them,,David Yates,3.99,14.99,14.99,3.99,2017-03-14T07:00:00Z,USA,USD,"“Fantastic Beasts and Where to Find Them” opens in 1926 as Newt Scamander has just completed a global excursion to find and document an extraordinary array of magical creatures. Arriving in New York for a brief stopover, he might have come and gone without incident…were it not for a No-Maj (American for Muggle) named Jacob, a misplaced magical case, and the escape of some of Newt’s fantastic beasts, which could spell trouble for both the wizarding and No-Maj worlds.",Action & Adventure,7975717.0,1.0,14.99,3.99,14.99,3.99,2017-03-14 07:00:00,666
1400637562.0,track,Ant-Man and the Wasp,,Peyton Reed,4.99,14.99,14.99,5.99,2018-07-06T07:00:00Z,USA,USD,"From the Marvel Cinematic Universe comes Ant-Man and the Wasp, a new chapter featuring heroes with the astonishing ability to shrink. In the aftermath of Captain America: Civil War, Scott Lang grapples with his choices as both a super hero and a father. As he struggles to balance his home life with his responsibilities as Ant-Man, he’s confronted by Hope van Dyne and Dr. Hank Pym with an urgent new mission. Scott must once again put on the suit and learn to fight alongside the Wasp as they join forces to uncover secrets from the past.",Action & Adventure,7113730.0,1.0,14.99,4.99,14.99,5.99,2018-07-06 07:00:00,187
1390225970.0,track,Ocean's 8,,Gary Ross,5.99,19.99,19.99,5.99,2018-06-08T07:00:00Z,USA,USD,"Five years, eight months, 12 days...and counting. That’s how long Debbie Ocean (Sandra Bullock) has been devising the biggest heist of her life. She knows what it’s going to take—a team of the best in their field, starting with her partner-in-crime Lou Miller (Cate Blanchett). Together, they recruit a crew of specialists: jeweler Amita (Mindy Kaling); street con Constance (Awkwafina); expert fence Tammy (Sarah Paulson); hacker Nine Ball (Rihanna); and fashion designer Rose (Helena Bonham Carter). The target is a cool $150 million dollars in diamonds—diamonds that will be around the neck of world-famous actress Daphne Kluger (Anne Hathaway), who will be centerstage at the event of the year, the Met Gala. The plan is rock solid, but everything will need to be flawless if the team is going to get in and get away with the ice. All in plain sight.",Action & Adventure,6613772.0,1.0,19.99,5.99,19.99,5.99,2018-06-08 07:00:00,215
279599283.0,track,Maverick,,Richard Donner,3.99,12.99,12.99,3.99,1994-06-09T07:00:00Z,USA,USD,"In one of the most anticipated movies of 1994, boxoffice superstar Mel Gibson (""Lethal Weapon,"" et. al.) and two-time Academy Award-winner Jodie Foster (""The Accused,"" ""Silence of the Lambs"") are a dapper gambler and a seductive con woman in this slick Western based on the classic TV series. James Garner (""Murphy""s Romance,"" TV's ""Rockford Files"") -- the original Maverick -- James Coburn (""The Magnificent Seven,"" ""Young Guns II""), Graham Greene (""Northern Exposure"") and a slew of country singers co-star in this film by Richard Donner (""Superman,"" ""Lethal Weapon"" trilogy). The New York Times calls this ""fast, funny, full of action...[it's] ""Lethal Weapon"" meets ""Butch Cassidy and the Sundance Kid.""  The Hollywood Reporter calls it ""a fast-shuffling escapade of antic wit...a delightfully appealing, brainy comedy...[a] royal flush"" and Variety says it's ""exuberant...a whole new generation is about to discover the charm, wit and fun of Maverick.""",Action & Adventure,7592435.0,1.0,12.99,3.99,12.99,3.99,1994-06-09 07:00:00,8980
1370224078.0,track,Avengers: Infinity War,,Anthony Russo & Joe Russo,4.99,14.99,14.99,5.99,2018-04-27T07:00:00Z,USA,USD,"An unprecedented cinematic journey ten years in the making and spanning the entire Marvel Cinematic Universe, Marvel Studios’ Avengers: Infinity War brings to the screen the ultimate, deadliest showdown of all time. The Avengers and their Super Hero allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.",Action & Adventure,9003660.0,1.0,14.99,4.99,14.99,5.99,2018-04-27 07:00:00,257
1382445641.0,track,Deadpool 2,,David Leitch,5.99,19.99,19.99,5.99,2018-05-18T07:00:00Z,USA,USD,The sequel to the first one.,Action & Adventure,7211245.0,1.0,19.99,5.99,19.99,5.99,2018-05-18 07:00:00,236
1382545660.0,track,Solo: A Star Wars Story,,Ron Howard,4.99,14.99,14.99,5.99,2018-05-25T07:00:00Z,USA,USD,"Board the Millennium Falcon and journey to a galaxy far, far away in Solo: A Star Wars Story, an epic action adventure with the most beloved scoundrel in the galaxy. Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo befriends his mighty future copilot Chewbacca and meets the notorious gambler Lando Calrissian, in a journey that will set the course of one of the Star Wars saga’s most unlikely heroes.",Action & Adventure,8109933.0,1.0,14.99,4.99,14.99,5.99,2018-05-25 07:00:00,229
1423328439.0,track,Papillon (2018),,Michael Noer,5.99,14.99,14.99,5.99,2018-08-24T07:00:00Z,USA,USD,"Based on the international best-selling autobiographical books ""Papillon"" and ""Banco,"" this action-packed true story follows the epic life of Henri ""Papillon"" Charrière (Charlie Hunnam), a safecracker from the Parisian underworld who is framed for murder and condemned to life in the notorious penal colony on Devil's Island. Determined to regain his freedom, Papillon forms an unlikely alliance with quirky convicted counterfeiter Louis Dega (Rami Malek), who in exchange for protection, agrees to finance Papillon's escape. This film is a thrilling adventure and a powerful portrait of the resilience of the human spirit, even in the face of utter inhumanity.",Action & Adventure,7994880.0,1.0,14.99,5.99,14.99,5.99,2018-08-24 07:00:00,138
1417711887.0,track,Christopher Robin,,Marc Forster,4.99,14.99,14.99,5.99,2018-08-03T07:00:00Z,USA,USD,"In this heartwarming tale from Disney, Christopher Robin, the boy who had countless adventures in the Hundred Acre Wood, has grown up and lost his way. Now it’s up to his spirited and lovable stuffed animals, Winnie The Pooh, Tigger, Piglet, and the rest of the gang, to rekindle their friendship and remind him of endless days of childlike wonder and make-believe.",Action & Adventure,6278277.0,1.0,14.99,4.99,14.99,5.99,2018-08-03 07:00:00,159
1409949036.0,track,The Happytime Murders,,Brian Henson,5.99,12.99,14.99,5.99,2018-08-17T07:00:00Z,USA,USD,"THE HAPPYTIME MURDERS is set in the underbelly of Los Angeles where puppets and humans coexist. Two clashing detectives, one human and one puppet, are forced to work together to try and solve who is brutally murdering the former cast of “The Happytime Gang,” a beloved classic puppet show.",Action & Adventure,5449535.0,1.0,12.99,5.99,14.99,5.99,2018-08-17 07:00:00,145
